title,price,location,date_posted,link,image_url
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/,https://statics.olx.in/external/base/img/olxLogo/olx_logo_2025.svg
N/A,N/A,N/A,N/A,https://www.olx.in/,https://statics.olx.in/external/base/img/olxLogo/olx_logo_2025.svg
N/A,N/A,N/A,N/A,https://www.olx.in/,https://statics.olx.in/external/base/img/olxLogo/olx_logo_2025.svg
N/A,N/A,N/A,N/A,https://www.olx.in/,https://statics.olx.in/external/base/img/olxLogo/olx_logo_2025.svg
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
N/A,N/A,N/A,N/A,https://www.olx.in/,N/A
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1803390808,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,N/A,N/A
Car seat cover vsp,"₹ 4,200","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1804345294,https://apollo.olx.in:443/v1/files/s7rqlxmv22kp1-ADVIN/image;s=150x0;q=50;f=webp;
Car seat cover vsp,"₹ 4,200","Seetamma Peta, Visakhapatnam",N/A,N/A,N/A
Car Seat Covers del,"₹ 3,800","Teen Murti Marg Area, Delhi",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-teen-murti-marg-area-delhi-iid-1804756254,https://apollo.olx.in:443/v1/files/anlj9be4dls03-ADVIN/image;s=150x0;q=50;f=webp;
Car Seat Covers del,"₹ 3,800","Teen Murti Marg Area, Delhi",N/A,N/A,N/A
Swift Car Cover for sale,"₹ 1,100","Patran 176, Patran",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-patran-176-patran-iid-1806309597,https://apollo.olx.in:443/v1/files/ifzz3qwjlw3n1-IN/image;s=150x0;q=50;f=webp;
Swift Car Cover for sale,"₹ 1,100","Patran 176, Patran",N/A,N/A,N/A
3 BHK luxury independent floor with lift covered car parking,"₹ 44,99,999","Govindpuram, Ghaziabad",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1350-sq-ft-in-govindpuram-ghaziabad-iid-1787565848,https://apollo.olx.in:443/v1/files/skp4bvwwhkao3-IN/image;s=150x0;q=50;f=webp;
3 BHK luxury independent floor with lift covered car parking,"₹ 44,99,999","Govindpuram, Ghaziabad",N/A,N/A,N/A
Recaro Santro Car Cover,₹ 800,"Yogi Nagar Township, Vadodara",N/A,https://www.olx.in/item/spare-parts-c1587-recaro-santro-car-cover-in-yogi-nagar-township-vadodara-iid-1806305191,https://apollo.olx.in:443/v1/files/ja4pmm6hh1z53-IN/image;s=150x0;q=50;f=webp;
Recaro Santro Car Cover,₹ 800,"Yogi Nagar Township, Vadodara",N/A,N/A,N/A
Dash cam & Nexon reserve camera car cover,"₹ 10,000","Sathagalli Layout, Mysuru",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-sathagalli-layout-mysuru-iid-1803781287,https://apollo.olx.in:443/v1/files/56i8dxdam7lc3-ADVIN/image;s=150x0;q=50;f=webp;
Dash cam & Nexon reserve camera car cover,"₹ 10,000","Sathagalli Layout, Mysuru",N/A,N/A,N/A
"2bhk available for rent at Pammal,  covered car parking rent","₹ 21,000","Pammal, Chennai",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-800-sq-ft-in-pammal-chennai-iid-1805178758,https://apollo.olx.in:443/v1/files/6bl520mark8n-ADVIN/image;s=150x0;q=50;f=webp;
"2bhk available for rent at Pammal,  covered car parking rent","₹ 21,000","Pammal, Chennai",N/A,N/A,N/A
"i want to sell my alto car vxi   with 
 Superior leather seat cover","₹ 4,40,000","Syed Ali Akbar, Srinagar",N/A,https://www.olx.in/item/cars-c84-used-maruti-suzuki-alto-800-in-syed-ali-akbar-srinagar-iid-1723108097,https://apollo.olx.in:443/v1/files/w9b9pyzl6v7b3-IN/image;s=150x0;q=50;f=webp;
"i want to sell my alto car vxi   with 
 Superior leather seat cover","₹ 4,40,000","Syed Ali Akbar, Srinagar",N/A,N/A,N/A
Ambattur 2 Flats for Sale with Lift & Covered Car Parking,"₹ 31,00,000","Ambattur, Chennai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-702-sq-ft-in-ambattur-chennai-iid-1806283524,https://apollo.olx.in:443/v1/files/5j08ddta6pp11-IN/image;s=150x0;q=50;f=webp;
Ambattur 2 Flats for Sale with Lift & Covered Car Parking,"₹ 31,00,000","Ambattur, Chennai",N/A,N/A,N/A
Stylish Car cover,"₹ 1,500","Paldi Meena, Jaipur",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-paldi-meena-jaipur-iid-1803022931,https://apollo.olx.in:443/v1/files/dm4nhhbqs4at2-ADVIN/image;s=150x0;q=50;f=webp;
Stylish Car cover,"₹ 1,500","Paldi Meena, Jaipur",N/A,N/A,N/A
2bhk attached first floor with covered car parking,"₹ 14,000","Manacaud, Thiruvananthapuram",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1800-sq-ft-in-manacaud-thiruvananthapuram-iid-1805132334,https://apollo.olx.in:443/v1/files/ab2qcb8ni046-ADVIN/image;s=150x0;q=50;f=webp;
2bhk attached first floor with covered car parking,"₹ 14,000","Manacaud, Thiruvananthapuram",N/A,N/A,N/A
baleno orvm brand new and alto car cover original and gear nob baleno,"₹ 4,500","Khadarwala, Muzaffarnagar",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-khadarwala-muzaffarnagar-iid-1789277444,https://apollo.olx.in:443/v1/files/lhsiipvonup62-IN/image;s=150x0;q=50;f=webp;
baleno orvm brand new and alto car cover original and gear nob baleno,"₹ 4,500","Khadarwala, Muzaffarnagar",N/A,N/A,N/A
Car cover of kia seltos,"₹ 1,000","Bhumkar Chowk Road, Pune",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-bhumkar-chowk-road-pune-iid-1806267899,https://apollo.olx.in:443/v1/files/b4nxkus6s06t2-IN/image;s=150x0;q=50;f=webp;
Car cover of kia seltos,"₹ 1,000","Bhumkar Chowk Road, Pune",N/A,N/A,N/A
Alto 800/K10 similar car body cover,₹ 500,"Mahadeb Nagar Jharapada, Bhubaneshwar",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-mahadeb-nagar-jharapada-bhubaneshwar-iid-1806261927,https://apollo.olx.in:443/v1/files/nn24wccajpp42-IN/image;s=150x0;q=50;f=webp;
Alto 800/K10 similar car body cover,₹ 500,"Mahadeb Nagar Jharapada, Bhubaneshwar",N/A,N/A,N/A
75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100","Jawahar Colony, Faridabad",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614,https://apollo.olx.in:443/v1/files/vw6uacmcjonh1-IN/image;s=150x0;q=50;f=webp;
75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100","Jawahar Colony, Faridabad",N/A,N/A,N/A
2bhk flat with 2 bathrooms 1balcony &2 covered car parking  sale,"₹ 44,00,000","Kudghat, Kolkata",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-720-sq-ft-in-kudghat-kolkata-iid-1806259909,https://apollo.olx.in:443/v1/files/6joe253cguzs1-IN/image;s=150x0;q=50;f=webp;
2bhk flat with 2 bathrooms 1balcony &2 covered car parking  sale,"₹ 44,00,000","Kudghat, Kolkata",N/A,N/A,N/A
All types of car seats covers available,"₹ 2,600","Shivpuri, Ludhiana",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-shivpuri-ludhiana-iid-1806257352,https://apollo.olx.in:443/v1/files/d8k84mgxl9472-IN/image;s=150x0;q=50;f=webp;
All types of car seats covers available,"₹ 2,600","Shivpuri, Ludhiana",N/A,N/A,N/A
"2BHK FLAT SALE Magnolia Fantasia with covered car parking

No broaker","₹ 26,90,000","Barasat- Barrackpore Road, Kolkata",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-689-sq-ft-in-barasat-barrackpore-road-kolkata-iid-1791888291,https://apollo.olx.in:443/v1/files/utghiy930pqf2-IN/image;s=150x0;q=50;f=webp;
"2BHK FLAT SALE Magnolia Fantasia with covered car parking

No broaker","₹ 26,90,000","Barasat- Barrackpore Road, Kolkata",N/A,N/A,N/A
wooden beads car seat cover,"₹ 1,000","Pallikaranai Selvam Nagar, Chennai",N/A,https://www.olx.in/item/sports-equipment-c100-wooden-beads-car-seat-cover-in-pallikaranai-selvam-nagar-chennai-iid-1806246451,https://apollo.olx.in:443/v1/files/fxnehcgobdgc-IN/image;s=150x0;q=50;f=webp;
wooden beads car seat cover,"₹ 1,000","Pallikaranai Selvam Nagar, Chennai",N/A,N/A,N/A
107 Gaj home with covered car parking near by main market,"₹ 45,00,000","Jawahar Colony, Faridabad",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286,https://apollo.olx.in:443/v1/files/snfj4qh41n4k1-IN/image;s=150x0;q=50;f=webp;
107 Gaj home with covered car parking near by main market,"₹ 45,00,000","Jawahar Colony, Faridabad",N/A,N/A,N/A
"Honda Mobilio 2014, New tyres and seat covers","₹ 5,15,000","Mogappair East Paneer Nagar, Chennai",N/A,https://www.olx.in/item/cars-c84-used-honda-mobilio-in-mogappair-east-paneer-nagar-chennai-iid-1797742139,https://apollo.olx.in:443/v1/files/8oapid9b11xi-IN/image;s=150x0;q=50;f=webp;
"Honda Mobilio 2014, New tyres and seat covers","₹ 5,15,000","Mogappair East Paneer Nagar, Chennai",N/A,N/A,N/A
NATP Sanction 1Rk luxurious flat with cover car parking with balcony,"₹ 23,80,000","Narhe, Pune",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-496-sq-ft-in-narhe-pune-iid-1789824109,https://apollo.olx.in:443/v1/files/z2d3ejg46n653-IN/image;s=150x0;q=50;f=webp;
NATP Sanction 1Rk luxurious flat with cover car parking with balcony,"₹ 23,80,000","Narhe, Pune",N/A,N/A,N/A
All Maruthi Seat cover  car stereo,"₹ 1,000","Panamaram, Wayanad",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-panamaram-wayanad-iid-1796086514,https://apollo.olx.in:443/v1/files/6x9m3ok0y4f83-IN/image;s=150x0;q=50;f=webp;
All Maruthi Seat cover  car stereo,"₹ 1,000","Panamaram, Wayanad",N/A,N/A,N/A
2Bhk flats with covered car parking,"₹ 43,50,000","Perungalattur, Tambaram",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-834-sq-ft-in-perungalattur-tambaram-iid-1805393637,https://apollo.olx.in:443/v1/files/8pizbx30gtdn1-ADVIN/image;s=150x0;q=50;f=webp;
2Bhk flats with covered car parking,"₹ 43,50,000","Perungalattur, Tambaram",N/A,N/A,N/A
Seat cover for all cars and traveller,"₹ 6,000","Gandhipuram, Coimbatore",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-gandhipuram-coimbatore-iid-1803486034,https://apollo.olx.in:443/v1/files/1eknspo4jaeh2-ADVIN/image;s=150x0;q=50;f=webp;
Seat cover for all cars and traveller,"₹ 6,000","Gandhipuram, Coimbatore",N/A,N/A,N/A
Maruti Swift Car Cover,₹ 849,"20 Dukan, Jaipur",N/A,https://www.olx.in/item/spare-parts-c1585-maruti-swift-car-cover-in-20-dukan-jaipur-iid-1806238897,https://apollo.olx.in:443/v1/files/1irc2k6de8791-IN/image;s=150x0;q=50;f=webp;
Maruti Swift Car Cover,₹ 849,"20 Dukan, Jaipur",N/A,N/A,N/A
Brembo caliper covers for all cars,₹ 700,"Gachibowli, Hyderabad",N/A,https://www.olx.in/item/spare-parts-c1585-brembo-caliper-covers-for-all-cars-in-gachibowli-hyderabad-iid-1800430070,https://apollo.olx.in:443/v1/files/lo4baohmdgxu3-ADVIN/image;s=150x0;q=50;f=webp;
Brembo caliper covers for all cars,₹ 700,"Gachibowli, Hyderabad",N/A,N/A,N/A
MODERN manufactur car seat cover,N/A,"Manikonda, Hyderabad",N/A,https://www.olx.in/item/other-services-c625-modern-manufactur-car-seat-cover-in-manikonda-hyderabad-iid-1776374025,https://apollo.olx.in:443/v1/files/0lngxp2ul1yz-IN/image;s=150x0;q=50;f=webp;
Brembo brake caliper covers all colours available for all cars,₹ 699,"Begumpet, Hyderabad",N/A,https://www.olx.in/item/spare-parts-c1585-brembo-brake-caliper-covers-all-colours-available-for-all-cars-in-begumpet-hyderabad-iid-1805724400,https://apollo.olx.in:443/v1/files/ep3qq237eju53-ADVIN/image;s=150x0;q=50;f=webp;
Brembo brake caliper covers all colours available for all cars,₹ 699,"Begumpet, Hyderabad",N/A,N/A,N/A
Car seat cover blr,"₹ 3,800","Bvk Iyengar Road Bangalore, Bengaluru",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-bvk-iyengar-road-bangalore-bengaluru-iid-1805787530,https://apollo.olx.in:443/v1/files/jx12wjerpn6r1-ADVIN/image;s=150x0;q=50;f=webp;
Car seat cover blr,"₹ 3,800","Bvk Iyengar Road Bangalore, Bengaluru",N/A,N/A,N/A
Defander car stepni cover,"₹ 15,000","Ashok Vihar, Delhi",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ashok-vihar-delhi-iid-1669544151,https://apollo.olx.in:443/v1/files/1lezodrmh7nc2-IN/image;s=150x0;q=50;f=webp;
Defander car stepni cover,"₹ 15,000","Ashok Vihar, Delhi",N/A,N/A,N/A
"Full Furnished 3BHK flat for sale 5 years old, 1 covered car parking.","₹ 1,21,00,000","Moshi, Pune",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1550-sq-ft-in-moshi-pune-iid-1804002221,https://apollo.olx.in:443/v1/files/4igkd2bbrzd53-ADVIN/image;s=150x0;q=50;f=webp;
"Full Furnished 3BHK flat for sale 5 years old, 1 covered car parking.","₹ 1,21,00,000","Moshi, Pune",N/A,N/A,N/A
2BHK Apartment with covered car parking,"₹ 70,00,000","Kanakadasa Layout, Bengaluru",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1025-sq-ft-in-kanakadasa-layout-bengaluru-iid-1804070364,https://apollo.olx.in:443/v1/files/84f03nxeys871-ADVIN/image;s=150x0;q=50;f=webp;
2BHK Apartment with covered car parking,"₹ 70,00,000","Kanakadasa Layout, Bengaluru",N/A,N/A,N/A
Korattur 2 BHK Flat for Sale with Covered Car Parking,"₹ 21,20,000","Mogappair, Chennai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-530-sq-ft-in-mogappair-chennai-iid-1805625415,https://apollo.olx.in:443/v1/files/tztdojv95pxl1-ADVIN/image;s=150x0;q=50;f=webp;
Korattur 2 BHK Flat for Sale with Covered Car Parking,"₹ 21,20,000","Mogappair, Chennai",N/A,N/A,N/A
Thirumullaivoyal 2 BHK Flat for Sale with Covered Car Parking,"₹ 33,00,000","Ayappakkam, Chennai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-762-sq-ft-in-ayappakkam-chennai-iid-1805433803,https://apollo.olx.in:443/v1/files/3yw79fy8wsxv2-ADVIN/image;s=150x0;q=50;f=webp;
Thirumullaivoyal 2 BHK Flat for Sale with Covered Car Parking,"₹ 33,00,000","Ayappakkam, Chennai",N/A,N/A,N/A
"Car Hand Rest , 3 Way Speakers , Stearing Cover",₹ 300,"Alandi Road, Pune",N/A,https://www.olx.in/item/spare-parts-c1585-car-hand-rest-3-way-speakers-stearing-cover-in-alandi-road-pune-iid-1805994797,https://apollo.olx.in:443/v1/files/uu27tztjinys-ADVIN/image;s=150x0;q=50;f=webp;
"Car Hand Rest , 3 Way Speakers , Stearing Cover",₹ 300,"Alandi Road, Pune",N/A,N/A,N/A
Spacious 2bhk Flat For Sale Fully furnished with Covered car parking,"₹ 37,90,000","Sector 116, Mohali",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1125-sq-ft-in-sector-116-mohali-iid-1804814625,https://apollo.olx.in:443/v1/files/s0t8c9mzh72l2-ADVIN/image;s=150x0;q=50;f=webp;
Spacious 2bhk Flat For Sale Fully furnished with Covered car parking,"₹ 37,90,000","Sector 116, Mohali",N/A,N/A,N/A
"Lift , Covered Car parking , CCTV facility,  Gated Community","₹ 54,16,500","Thoraipakkam, Chennai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-942-sq-ft-in-thoraipakkam-chennai-iid-1790552159,https://apollo.olx.in:443/v1/files/8ehz7niibgrc3-IN/image;s=150x0;q=50;f=webp;
"Lift , Covered Car parking , CCTV facility,  Gated Community","₹ 54,16,500","Thoraipakkam, Chennai",N/A,N/A,N/A
Fully furnished 2 BHK flat with covered car parking,"₹ 18,000","Madhuban Colony, Solan",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1250-sq-ft-in-madhuban-colony-solan-iid-1806193543,https://apollo.olx.in:443/v1/files/e7w6yk7591r41-IN/image;s=150x0;q=50;f=webp;
Fully furnished 2 BHK flat with covered car parking,"₹ 18,000","Madhuban Colony, Solan",N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/post,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/,https://statics.olx.in/external/base/img/olxLogo/olx_logo_2025.svg
N/A,N/A,N/A,N/A,https://www.olx.in/,https://statics.olx.in/external/base/img/olxLogo/olx_logo_2025.svg
N/A,N/A,N/A,N/A,https://www.olx.in/cars_c84,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/cars_c84,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/cars_c84,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/for-sale-houses-apartments_c1725,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/mobile-phones_c1453,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/data-entry-back-office_c1737,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/motorcycles_c81,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/tvs-video-audio_c1523,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/commercial-other-vehicles_c85,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/sofa-dining_c1593,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/men_c1793,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/books_c453,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/fishes-aquarium_c1293,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/education-classes_c1429,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/kolkata_g4157275,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/bhubaneshwar_g4059049,N/A
N/A,N/A,N/A,N/A,https://tech.olx.in/,N/A
N/A,N/A,N/A,N/A,https://www.olx.in/blog,N/A
